FECH; FOR.ACC ; ACTECA ; ACTECB ; ACTECC ; ACTECD ; ACTECE ; ACTECF ; ACTECG ; ACTECH ; ACTECI ; ACTECAJ ; ACTECAK ; ACTECL ; ACTECM ; ACTECN ; ACTECO ; ACTECZ ; TOT 
Enero_2020; TOTAL ; 29 ; 7 ; 187 ; 646 ; 10 ; 391 ; 283 ; 150 ; 325 ; 6 ; 437 ; 58 ; 12 ; 141 ; 145 ;; 2,827 
Febrero_2020;AGRESIÓN CON ARMAS; - ; - ; - ; - ; - ; 1 ; 1 ; - ; 2 ; 1 ; 2 ; 3 ; - ; - ; 2 ;; 12 
Febrero_2020;APRISIONAMIENTO O ATRAPAMIENTO; 2 ; 2 ; 18 ; 40 ; - ; 14 ; 16 ; - ; 11 ; 1 ; 16 ; 2 ; 1 ; 2 ; 2 ;; 127 
Febrero_2020;ATROPELLAMIENTO POR ANIMALES; 1 ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ;; 2 
Febrero_2020;ATROPELLAMIENTO POR VEHÍCULOS; - ; - ; - ; - ; - ; - ; 2 ; - ; 8 ; - ; - ; 2 ; - ; - ; 1 ;; 13 
Febrero_2020;CAÍDA DE OBJETOS; 2 ; - ; 19 ; 49 ; - ; 50 ; 26 ; 10 ; 19 ; - ; 36 ; 2 ; - ; 8 ; 11 ;; 232 
Febrero_2020;CAÍDA DE PERSONAL DE ALTURA; 1 ; 1 ; 5 ; 15 ; 1 ; 15 ; 8 ; 2 ; 20 ; - ; 18 ; 3 ; - ; 6 ; 1 ;; 96 
Febrero_2020;CAÍDA DE PERSONAS A NIVEL; 2 ; 1 ; 12 ; 42 ; 1 ; 37 ; 37 ; 13 ; 66 ; - ; 76 ; 24 ; 2 ; 18 ; 26 ;; 357 
Febrero_2020;CAÍDA DE PERSONAS AL AGUA; - ; - ; - ; 2 ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 3 
Febrero_2020;CHOQUE CONTRA OBJETO; - ; 1 ; 6 ; 50 ; 2 ; 29 ; 19 ; 17 ; 18 ; - ; 28 ; 1 ; 2 ; 11 ; 16 ;; 200 
Febrero_2020;CHOQUE DE VEHÍCULOS; - ; - ; 3 ; - ; - ; 5 ; 1 ; - ; 2 ; - ; 2 ; 1 ; - ; 1 ; - ;; 15 
Febrero_2020;CONTACTO CON CALOR; - ; - ; 2 ; 9 ; - ; - ; 1 ; 10 ; 1 ; - ; - ; - ; - ; 3 ; - ;; 26 
Febrero_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; 2 ; - ; 1 ; 1 ; - ; 2 ; - ; 3 ; - ; - ; - ; 2 ;; 11 
Febrero_2020;CONTACTO CON FUEGO; - ; - ; - ; 3 ; - ; 2 ; 1 ; 2 ; - ; - ; - ; 1 ; - ; - ; - ;; 9 
Febrero_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; 1 ; - ; 2 ; 6 ; - ; - ; 3 ; 13 ; - ; - ; - ; - ; - ; 1 ; 2 ;; 28 
Febrero_2020;CONTACTO CON PRODUCTOS QUÍMICOS; 1 ; - ; 9 ; 23 ; - ; 4 ; 10 ; 5 ; 1 ; - ; 9 ; - ; - ; 2 ; 5 ;; 69 
Febrero_2020;DERRUMBES O DESPLOMES DE INSTALACIONES; - ; - ; 3 ; 1 ; - ; 3 ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ;; 8 
Febrero_2020;ESFUERZOS FISICOS O FALSOS MOVIMIENTOS; 4 ; 1 ; 16 ; 61 ; - ; 44 ; 40 ; 5 ; 45 ; - ; 60 ; 8 ; 3 ; 11 ; 19 ;; 317 
Febrero_2020;EXPLOSIÓN O IMPLOSIÓN; - ; - ; 1 ; 1 ; - ; - ; - ; - ; 2 ; - ; 2 ; - ; - ; - ; - ;; 6 
Febrero_2020;EXPOSICIÓN A PRODUCTOS QUÍMICOS; - ; - ; 3 ; 5 ; - ; - ; 2 ; - ; 1 ; - ; 1 ; 2 ; - ; 1 ; - ;; 15 
Febrero_2020;EXPOSICIÓN A RADIACIONES NO IONIZANTES; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 
Febrero_2020;EXPOSICIÓN AL CALOR; - ; - ; 1 ; 1 ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ;; 3 
Febrero_2020;GOLPES POR OBJETOS (EXCEPTO CAÍDAS); 5 ; 2 ; 41 ; 82 ; - ; 46 ; 36 ; 4 ; 50 ; 1 ; 59 ; 4 ; 1 ; 9 ; 14 ;; 354 
Febrero_2020;INCENDIO; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ;; 1 
Febrero_2020;MORDEDURA DE ANIMALES; - ; - ; 1 ; 3 ; - ; 3 ; - ; - ; 3 ; - ; 1 ; 3 ; - ; 1 ; 2 ;; 17 
Febrero_2020;PISADAS SOBRE OBJETO; 1 ; - ; 2 ; 4 ; - ; 13 ; 2 ; 1 ; 6 ; - ; 15 ; 3 ; - ; - ; 3 ;; 50 
Febrero_2020;OTRAS FORMAS; 9 ; 9 ; 65 ; 341 ; 1 ; 121 ; 153 ; 30 ; 148 ; - ; 240 ; 12 ; 3 ; 48 ; 87 ;; 1,267 
Febrero_2020; TOTAL ; 29 ; 17 ; 209 ; 741 ; 5 ; 388 ; 360 ; 113 ; 406 ; 3 ; 569 ; 71 ; 12 ; 122 ; 194 ;; 3,239 
Marzo_2020;AGRESIÓN CON ARMAS; 1 ; - ; - ; 2 ; - ; - ; - ; - ; 3 ; - ; 3 ; 3 ; - ; - ; 2 ;; 14 
Marzo_2020;APRISIONAMIENTO O ATRAPAMIENTO; - ; 1 ; 7 ; 23 ; - ; 8 ; 10 ; 2 ; 8 ; - ; 9 ; 1 ; - ; 3 ; 2 ;; 74 
Marzo_2020;ATROPELLAMIENTO POR ANIMALES; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ;; 1 
Marzo_2020;ATROPELLAMIENTO POR VEHÍCULOS; - ; - ; - ; 1 ; - ; - ; 3 ; - ; 4 ; - ; 1 ; - ; - ; - ; - ;; 9 
Marzo_2020;CAÍDA DE OBJETOS; 5 ; 1 ; 18 ; 38 ; - ; 27 ; 28 ; 5 ; 14 ; - ; 40 ; 4 ; 1 ; 1 ; 11 ;; 193 
Marzo_2020;CAÍDA DE PERSONAL DE ALTURA; - ; - ; 7 ; 10 ; 1 ; 7 ; 7 ; 3 ; 11 ; - ; 15 ; 1 ; - ; 3 ; 5 ;; 70 
Marzo_2020;CAÍDA DE PERSONAS A NIVEL; 1 ; - ; 8 ; 39 ; - ; 8 ; 17 ; 15 ; 30 ; 3 ; 40 ; 15 ; 3 ; 11 ; 19 ;; 209 
Marzo_2020;CHOQUE CONTRA OBJETO; - ; - ; 10 ; 27 ; 1 ; 7 ; 20 ; 9 ; 13 ; - ; 16 ; 2 ; - ; 4 ; 1 ;; 110 
Marzo_2020;CHOQUE DE VEHÍCULOS; - ; 1 ; 1 ; - ; - ; - ; - ; - ; 1 ; - ; 1 ; - ; - ; - ; - ;; 4 
Marzo_2020;CONTACTO CON CALOR; - ; - ; 1 ; 4 ; - ; 1 ; 1 ; - ; - ; - ; 2 ; - ; - ; 1 ; - ;; 10 
Marzo_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; 2 ; - ; 2 ; - ; 1 ; 2 ; - ; 3 ; - ; 1 ; - ; 1 ;; 12 
Marzo_2020;CONTACTO CON FRÍO; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 
Marzo_2020;CONTACTO CON FUEGO; - ; - ; - ; 1 ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ;; 2 
Marzo_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; 2 ; 9 ; - ; - ; 1 ; 10 ; - ; - ; 4 ; - ; - ; 1 ; 1 ;; 28 
Marzo_2020;CONTACTO CON PRODUCTOS QUÍMICOS; - ; - ; - ; 10 ; - ; 2 ; 1 ; - ; 2 ; 1 ; 7 ; 2 ; - ; - ; 1 ;; 26 
Marzo_2020;DERRUMBES O DESPLOMES DE INSTALACIONES; - ; - ; 1 ; - ; - ; 1 ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ;; 3 
Marzo_2020;ESFUERZOS FÍSICOS O FALSOS MOVIMIENTOS; 1 ; 1 ; 2 ; 49 ; 1 ; 25 ; 30 ; 5 ; 38 ; 1 ; 56 ; 6 ; 1 ; 6 ; 26 ;; 248 
Marzo_2020;EXPLOSIÓN O IMPLOSIÓN; - ; - ; - ; 2 ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; 1 ;; 4 
Marzo_2020;EXPOSICION A PRODUCTOS QUÍMICOS; - ; - ; 1 ; 1 ; - ; - ; 3 ; - ; 1 ; - ; - ; 1 ; - ; - ; - ;; 7 
Marzo_2020;EXPOSICION A RADIACIONES NO IONIZANTES; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; 4 ; - ; - ; - ; - ;; 5 
Marzo_2020;EXPOSICION AL CALOR; - ; - ; - ; 2 ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ;; 3 
Marzo_2020;GOLPES POR OBJETOS (EXCEPTO CAÍDAS); 2 ; 1 ; 35 ; 42 ; - ; 19 ; 24 ; 3 ; 29 ; - ; 34 ; 6 ; - ; 5 ; 11 ;; 211 
Marzo_2020;MORDEDURA DE ANIMALES; - ; - ; 1 ; - ; - ; 1 ; - ; - ; 1 ; - ; 2 ; - ; 1 ; 1 ; - ;; 7 
Marzo_2020;PISADAS SOBRE OBJETO; 1 ; - ; 6 ; 8 ; - ; 5 ; 3 ; 1 ; 9 ; - ; 5 ; 1 ; - ; 1 ; - ;; 40 
Marzo_2020;OTRAS FORMAS; 3 ; 3 ; 23 ; 190 ; 2 ; 59 ; 78 ; 26 ; 93 ; - ; 131 ; 36 ; 2 ; 36 ; 66 ;; 748 
Marzo_2020; TOTAL ; 14 ; 8 ; 123 ; 461 ; 5 ; 172 ; 227 ; 81 ; 259 ; 5 ; 376 ; 78 ; 9 ; 74 ; 147 ;; 2,039 
Abril_2020;AGRESIÓN CON ARMAS; - ; - ; - ; - ; - ; - ; 1 ; - ; 1 ; - ; 2 ; - ;; - ; - ;; 4 
Abril_2020;APRISIONAMIENTO O ATRAPAMIENTO; - ; - ; 6 ; 9 ; - ; 3 ; 7 ; 1 ; 5 ; - ; 3 ; 1 ;; 3 ; 2 ;; 40 
Abril_2020;ATROPELLAMIENTO POR VEHÍCULOS; - ; - ; 2 ; 3 ; - ; - ; 1 ; - ; 1 ; - ; 1 ; - ;; - ; - ;; 8 
Abril_2020;CAÍDA DE OBJETOS; - ; 1 ; 7 ; 9 ; - ; 16 ; 10 ; 3 ; 10 ; - ; 14 ; 3 ;; - ; 2 ;; 75 
Abril_2020;CAÍDA DE PERSONAL DE ALTURA; - ; - ; 1 ; 3 ; - ; 3 ; 4 ; 1 ; 8 ; - ; 4 ; 1 ;; - ; 1 ;; 26 
Abril_2020;CAÍDA DE PERSONAS A NIVEL; 2 ; - ; 4 ; 11 ; 1 ; 2 ; 6 ; 5 ; 8 ; 1 ; 12 ; 4 ;; 10 ; 4 ;; 70 
Abril_2020;CHOQUE CONTRA OBJETO; 2 ; - ; 4 ; 3 ; - ; - ; 5 ; 3 ; 1 ; - ; 6 ; - ;; 1 ; - ;; 25 
Abril_2020;CHOQUE DE VEHÍCULOS; - ; - ; 13 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;; - ; - ;; 13 
Abril_2020;CONTACTO CON CALOR; - ; - ; - ; 2 ; - ; - ; - ; 1 ; - ; - ; 1 ; - ;; - ; - ;; 4 
Abril_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ;; - ; - ;; 1 
Abril_2020;CONTACTO CON FRIO; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ;; - ; - ;; 1 
Abril_2020;CONTACTO CON FUEGO; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ;; - ; - ;; 1 
Abril_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; - ; 1 ; - ; 1 ; 1 ; 1 ; 1 ; - ; - ; - ;; - ; - ;; 5 
Abril_2020;CONTACTO CON PLAGUICIDAS; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 ; - ;; 1 
Abril_2020;CONTACTO CON PRODUCTOS QUÍMICOS; 1 ; - ; 5 ; 5 ; - ; - ; 1 ; - ; - ; - ; 4 ; - ;; - ; 1 ;; 17 
Abril_2020;DERRUMBES O DESPLOMES DE INSTALACIONES; - ; - ; 2 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;; - ; 1 ;; 3 
Abril_2020;ESFUERZOS FÍSICOS O FALSOS MOVIMIENTOS; 2 ; - ; 2 ; 20 ; - ; 4 ; 19 ; 1 ; 8 ; - ; 16 ; 2 ;; 5 ; 3 ;; 82 
Abril_2020;EXPOSICIÓN A PRODUCTOS QUÍMICOS; - ; - ; 2 ; 1 ; - ; - ; - ; - ; 1 ; - ; 2 ; - ;; - ; 1 ;; 7 
Abril_2020;EXPOSICIÓN AL CALOR; - ; - ; - ; - ; - ; - ; 1 ; 1 ; - ; - ; - ; - ;; - ; - ;; 2 
Abril_2020;GOLPES POR OBJETOS (EXCEPTO CAÍDAS); - ; - ; 13 ; 13 ; - ; 10 ; 4 ; - ; 15 ; - ; 10 ; 2 ;; - ; 7 ;; 74 
Abril_2020;MORDEDURA DE ANIMALES; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; 1 ; - ;; - ; - ;; 2 
Abril_2020;PISADAS SOBRE OBJETO; - ; - ; 2 ; 3 ; - ; 1 ; 1 ; - ; 1 ; - ; 1 ; 1 ;; - ; 1 ;; 11 
Abril_2020;OTRAS FORMAS; 6 ; - ; 32 ; 50 ; 1 ; 15 ; 18 ; 1 ; 30 ; 2 ; 26 ; 15 ;; 26 ; 8 ;; 230 
Abril_2020; TOTAL ; 13 ; 1 ; 95 ; 134 ; 2 ; 55 ; 79 ; 20 ; 91 ; 3 ; 103 ; 29 ; - ; 46 ; 31 ;; 702 
Mayo_2020;AGRESIÓN CON ARMAS; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ;; - ; - ; - ; - ;; 1 
Mayo_2020;APRISIONAMIENTO O ATRAPAMIENTO; - ; - ; 5 ; 5 ; - ; 1 ; 6 ; 1 ; 4 ; 4 ;; - ; - ; 1 ; - ;; 27 
Mayo_2020;ATROPELLAMIENTO POR VEHÍCULOS; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; 2 ;; - ; - ; - ; 1 ;; 4 
Mayo_2020;CAÍDA DE OBJETOS; - ; - ; 2 ; 8 ; - ; 3 ; 5 ; 1 ; 7 ; 9 ;; - ; - ; 1 ; 1 ;; 37 
Mayo_2020;CAÍDA DE PERSONAL DE ALTURA; - ; - ; 1 ; 5 ; - ; - ; 2 ; - ; 4 ; 6 ;; - ; - ; - ; 1 ;; 19 
Mayo_2020;CAÍDA DE PERSONAS A NIVEL; - ; 1 ; 4 ; 5 ; 2 ; 3 ; 5 ; 4 ; 9 ; 13 ;; 3 ; 3 ; 7 ; 2 ;; 61 
Mayo_2020;CHOQUE CONTRA OBJETO; 1 ; - ; 3 ; 4 ; - ; - ; 5 ; - ; 3 ; 4 ;; - ; - ; 1 ; - ;; 21 
Mayo_2020;CHOQUE DE VEHÍCULOS; - ; - ; 3 ; - ; - ; - ; - ; - ; - ; - ;; - ; - ; - ; - ;; 3 
Mayo_2020;CONTACTO CON CALOR; - ; - ; - ; 1 ; - ; - ; - ; 1 ; - ; - ;; - ; - ; - ; - ;; 2 
Mayo_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ;; - ; - ; - ; - ;; 1 
Mayo_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; - ; - ; - ; - ; - ; 2 ; - ; - ;; - ; - ; - ; - ;; 2 
Mayo_2020;CONTACTO CON PRODUCTOS QUÍMICOS; 2 ; - ; 3 ; 2 ; - ; - ; - ; - ; - ; 2 ;; - ; - ; 1 ; - ;; 10 
Mayo_2020;ESFUERZOS FÍSICOS O FALSOS MOVIMIENTOS; 5 ; - ; 6 ; 15 ; - ; 4 ; 5 ; - ; 9 ; 8 ;; 2 ; 2 ; 3 ; 3 ;; 62 
Mayo_2020;EXPOSICION A PRODUCTOS QUÍMICOS; - ; - ; 1 ; 1 ; - ; - ; - ; - ; - ; - ;; - ; - ; - ; - ;; 2 
Mayo_2020;GOLPES POR OBJETOS (EXCEPTO CAÍDAS); - ; - ; 11 ; 4 ; - ; 2 ; 3 ; - ; 4 ; 2 ;; 3 ; 1 ; - ; - ;; 30 
Mayo_2020;INCENDIO; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ;; - ; - ; - ; - ;; 1 
Mayo_2020;MORDEDURA DE ANIMALES; - ; - ; - ; - ; - ; - ; 1 ; - ; 3 ; 1 ;; - ; - ; - ; 1 ;; 6 
Mayo_2020;PISADAS SOBRE OBJETO; - ; - ; 1 ; - ; 1 ; 1 ; - ; - ; 2 ; - ;; - ; - ; 1 ; - ;; 6 
Mayo_2020;OTRAS FORMAS; 7 ; - ; 19 ; 29 ; 1 ; 11 ; 9 ; 5 ; 20 ; 23 ;; 2 ; 1 ; 53 ; 2 ;; 182 
Mayo_2020; TOTAL ; 15 ; 1 ; 59 ; 80 ; 4 ; 25 ; 43 ; 14 ; 65 ; 75 ; - ; 10 ; 7 ; 68 ; 11 ;; 477 
Junio_2020;APRISIONAMIENTO O ATRAPAMIENTO; - ; - ; 2 ; 20 ; - ; 1 ; 1 ; - ; 3 ; - ; 5 ; - ;; 1 ; 3 ;; 36 
Junio_2020;ATROPELLAMIENTO POR VEHÍCULOS; - ; - ; - ; - ; - ; - ; 1 ; - ; 1 ; - ; 2 ; - ;; - ; - ;; 4 
Junio_2020;CAÍDA DE OBJETOS; 1 ; 1 ; 1 ; 8 ; - ; 4 ; 9 ; - ; 6 ; - ; 3 ; 1 ;; - ; - ;; 34 
Junio_2020;CAÍDA DE PERSONAL DE ALTURA; - ; 1 ; 1 ; 5 ; - ; 2 ; 2 ; 1 ; 6 ; - ; 3 ; - ;; 2 ; 1 ;; 24 
Junio_2020;CAÍDA DE PERSONAS A NIVEL; - ; - ; 1 ; 15 ; - ; - ; 5 ; 1 ; 10 ; - ; 12 ; 1 ;; 5 ; 3 ;; 53 
Junio_2020;CHOQUE CONTRA OBJETO; - ; - ; 1 ; 7 ; - ; - ; 3 ; - ; 3 ; - ; 2 ; - ;; 8 ; 1 ;; 25 
Junio_2020;CHOQUE DE VEHÍCULOS; - ; - ; - ; - ; 3 ; - ; - ; - ; - ; - ; - ; - ;; - ; - ;; 3 
Junio_2020;CONTACTO CON CALOR; - ; - ; 1 ; 2 ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 ; - ;; 4 
Junio_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; 2 ;; - ; - ;; 3 
Junio_2020;CONTACTO CON FUEGO; - ; - ; - ; 3 ; - ; - ; - ; - ; - ; - ; - ; - ;; - ; - ;; 3 
Junio_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ;; - ; - ;; 1 
Junio_2020;CONTACTO CON PRODUCTOS QUÍMICOS; - ; - ; - ; 1 ; - ; - ; 2 ; - ; 1 ; - ; 4 ; - ;; 1 ; - ;; 9 
Junio_2020;DERRUMBES O DESPLOMES DE INSTALACIONES; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; 1 ; - ;; - ; - ;; 2 
Junio_2020;ESFUERZOS FÍSICOS O FALSOS MOVIMIENTOS; - ; - ; 1 ; 28 ; - ; 2 ; 4 ; 2 ; 6 ; - ; 10 ; 1 ;; 5 ; 2 ;; 61 
Junio_2020;EXPLOSIÓN O IMPLOSIÓN; - ; - ; 1 ; 1 ; - ; - ; 1 ; - ; - ; - ; - ; - ;; - ; - ;; 3 
Junio_2020;EXPOSICION A PRODUCTOS QUÍMICOS; 1 ; - ; 1 ; - ; - ; - ; 2 ; - ; 1 ; - ; - ; - ;; - ; 1 ;; 6 
Junio_2020;EXPOSICION AL CALOR; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ;; - ; - ;; 1 
Junio_2020;GOLPES POR OBJETOS (EXCEPTO CAÍDAS); 1 ; - ; 3 ; 16 ; - ; 1 ; 3 ; - ; 8 ; - ; 12 ; - ;; 1 ; 2 ;; 47 
Junio_2020;INCENDIO; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; 1 ; - ; - ;; - ; - ;; 2 
Junio_2020;MORDEDURA DE ANIMALES; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; 1 ; - ;; - ; - ;; 2 
Junio_2020;PISADAS SOBRE OBJETO; - ; - ; - ; - ; - ; - ; - ; - ; 2 ; - ; 1 ; - ;; - ; - ;; 3 
Junio_2020;OTRAS FORMAS; 2 ; 1 ; 4 ; 85 ; - ; 5 ; 19 ; 3 ; 43 ; - ; 23 ; 4 ;; 94 ; 10 ;; 293 
Junio_2020; TOTAL ; 5 ; 3 ; 17 ; 193 ; 3 ; 15 ; 53 ; 7 ; 91 ; 1 ; 80 ; 10 ; - ; 118 ; 23 ;; 619 
Julio_2020;AGRESIÓN CON ARMAS; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 2 ; 7 ; - ; - ; - ;; 9 
Julio_2020;APRISIONAMIENTO O ATRAPAMIENTO; - ; - ; - ; 21 ; - ; 2 ; 5 ; - ; 4 ; - ; 8 ; 3 ; - ; 2 ; 2 ;; 47 
Julio_2020;ATROPELLAMIENTO POR VEHÍCULOS; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; 1 ; - ; - ; - ; 1 ;; 3 
Julio_2020;CAÍDA DE OBJETOS; 1 ; - ; 4 ; 20 ; - ; 4 ; 8 ; 1 ; 16 ; - ; 14 ; 1 ; - ; 5 ; 3 ;; 77 
Julio_2020;CAÍDA DE PERSONAL DE ALTURA; - ; - ; 1 ; 6 ; - ; 9 ; 6 ; - ; 23 ; - ; 15 ; 3 ; - ; 2 ; 4 ;; 69 
